x,y,centr_id
414.872,493.061,2
149.323,325.6,0
361.046,143.962,3
505.571,123.562,4
421.313,128.83,4
277.528,111.214,3
272.072,280.114,0
437.138,133.768,4
214.511,293.002,0
198.894,317.884,0
287.527,72.4494,3
514.729,101.889,4
416.358,463.852,1
367.752,38.7771,3
432.235,562.214,2
421.22,209.594,4
394.355,507.664,2
364.303,507.92,2
203.546,309.855,0
247.691,325.858,0
447.304,117.611,4
426.138,450.125,1
329.011,81.1653,3
182.92,275.807,0
456.862,179.356,4
435.609,501.299,1
232.491,304.81,0
396.277,502.186,2
486.634,73.7082,4
336.378,47.5977,3
198.662,232.277,0
430.736,89.4997,4
327.469,166.861,3
405.392,448.949,2
129.73,253.725,0
428.03,133.84,4
453.572,458.813,1
394.243,498.92,2
385.66,488.109,2
353.706,98.5089,3
446.19,470.353,1
504.715,73.5741,4
463.723,441.34,1
433.486,443.305,1
283.029,144.727,3
238.23,349.919,0
372.333,426.92,2
460.224,88.9567,4
514.417,474.491,1
522.793,125.707,4
351.89,125.626,3
140.237,308.467,0
213.223,308.882,0
216.728,264.356,0
389.547,412.65,2
399.352,104.349,3
238.162,338.98,0
497.925,493.562,1
350.351,52.6975,3
226.123,364.046,0
475.317,528.631,1
405.993,516.181,2
393.833,489.837,2
402.121,127.184,4
373.328,503.792,2
388.357,556.838,2
391.53,516.159,2
309.074,531.719,2
324.93,93.2572,3
373.782,206.719,4
410.517,464.429,2
389.181,143.998,4
188.422,341.916,0
413.649,468.029,2
282.731,311.07,0
263.686,318.453,0
412.116,123.77,4
295.29,88.1665,3
528.784,527.967,1
381.962,399.567,2
430.347,461.459,1
389.107,144.019,4
422.33,536.36,2
394.3,504.055,2
424.92,187.199,4
502.02,66.6994,4
392.811,498.122,2
467.397,476.568,1
206.336,239.959,0
405.062,439.479,1
441.035,103.263,4
272.935,286.104,0
426.089,37.34,4
340.672,131.182,3
384.96,425.691,2
406.244,486.767,2
458.407,74.9775,4
286.701,312.157,0
235.107,321.819,0
456.605,469.924,1
394.992,13.2151,3
201.578,298.887,0
471.966,102.197,4
457.089,463.288,1
425.557,115.139,4
375.854,478.831,2
433.979,143.604,4
381.395,532.678,2
422.689,439.086,1
314.987,183.145,3
124.128,286.946,0
435.943,470.662,1
290.779,104.213,3
271.905,275.485,0
401.704,417.667,1
422.717,536.534,2
352.224,89.5089,3
477.293,440.895,1
451.059,407.087,1
396.02,176.421,4
506.407,68.7011,4
203.226,300.216,0
426.012,478.717,1
395.765,497.539,2
341.25,116.196,3
411.998,225.663,4
156.06,368.853,0
453.925,138.239,4
393.313,413.068,1
403.632,496.084,2
190.722,243.771,0
434.478,478.84,1
361.632,96.0496,3
399.56,497.183,2
125.333,329.3,0
363.547,115.585,3
393.959,24.2924,3
399.336,414.473,1
375.959,138.251,3
369.712,510.876,2
460.948,185.814,4
419.455,454.798,1
470.449,511.797,1
180.106,317.459,0
347.972,84.4556,3
456.908,524.435,1
505.582,198.819,4
442.102,161.79,4
459.686,176.914,4
480.761,94.7077,4
421.675,206.278,4
362.321,32.9043,3
379.202,500.447,2
412.293,50.5206,3
486.626,475.403,1
392.259,511.43,2
208.346,336.69,0
207.964,306.448,0
225.555,319.411,0
365.256,89.5885,3
390.112,510.476,2
463.115,494.266,1
376.487,489.028,2
133.599,263.147,0
306.424,164.582,3
371.754,438.728,2
465.712,205.156,4
393.057,498.111,2
288.449,287.235,0
399.962,530.135,2
353.564,467.758,2
457.908,103.152,4
426.755,132.219,4
179.212,219.587,0
488.048,102.804,4
290.355,143.573,3
466.787,458.117,1
420.66,481.07,2
365.681,497.455,2
364.557,104.556,3
468.298,39.2106,4
394.599,489.947,2
469.798,222.578,4
427.99,180.422,4
366.429,581.47,2
160.151,349.61,0
395.737,219.099,4
418.866,530.116,2
359.023,431.15,2
411.85,117.678,4
295.533,292.922,0
433.585,141.419,4
345.08,166.341,3
474.982,449.603,1
494.773,457.705,1
449.505,110.136,4
398.316,99.9309,3
492.16,475.292,1
127.465,317.155,0
391.109,83.1999,3
457.583,466.727,1
282.507,40.5918,3
407.641,187.193,4
435.544,432.073,1
456.379,565.342,2
495.717,502.044,1
417.194,379.326,1
233,258.664,0
485.903,454.832,1
392.096,127.555,3
206.315,402.876,0
486.078,389.434,1
445.327,117.382,4
342.38,568.371,2
466.319,156.17,4
374.659,503.312,2
189.069,301.664,0
135.638,256.107,0
376.56,503.005,2
286.026,120.738,3
435.687,530.314,2
362.678,165.414,3
430.589,440.172,1
394.15,507.894,2
454.956,108.762,4
453.942,513.986,1
327.423,55.8638,3
366.678,10.8705,3
361.315,476.736,2
206.161,286.729,0
519.371,486.869,1
417.944,86.5774,4
300.865,322.071,0
226.609,294.382,0
181.73,263.207,0
472.493,91.3586,4
394.077,504.432,2
482.633,155.301,4
362.588,514.581,2
473.303,136.656,4
392.457,125.542,3
230.72,219.881,0
291.054,266.395,0
465.403,473.037,1
178.683,349.817,0
437.184,102.322,4
312.699,107.569,3
183.148,282.491,0
349.419,138.092,3
401.335,582.33,2
311.632,543.876,2
393.523,499.803,2
500.516,105.74,4
438.109,132.568,4
199.91,290.941,0
355.747,142.36,3
284.164,264.348,0
411.894,474.958,2
293.505,168.967,3
416.857,435.795,1
383.367,146.39,3
365.685,152.522,3
398.323,453.7,2
401.431,508.556,2
303.289,21.6181,3
470.129,450.077,1
389.003,185.844,4
295.356,139.065,3
155.17,370.634,0
515.597,460.597,1
193.434,370.01,0
303.202,310.426,0
475.884,398.37,1
118.784,280.043,0
165.921,323.387,0
363.708,92.2218,3
228.961,304.688,0
386.787,197.858,4
472.078,457.508,1
341.757,107.158,3
228.896,287.68,0
506.804,460.015,1
363.288,133.191,3
521.954,182.342,4
221.571,321.159,0
425.634,415.082,1
171.769,335.348,0
347.797,148.002,3
171.152,307.963,0
353.242,99.6792,3
491.123,484.464,1
450.954,493.525,1
471.658,465.191,1
356.704,122.962,3
217.495,270.381,0
395.216,502.004,2
346.146,415.031,2
534.128,147.308,4
478.363,499.998,1
480.628,541.827,1
387.927,174.669,4
448.142,470.241,1
515.876,97.3297,4
177.481,259.42,0
400.437,500.522,2
416.619,473.865,2
495.713,478.998,1
377.778,70.6399,3
389.734,525.657,2
293.5,37.1255,3
507.562,525.856,1
404.956,34.038,3
460.727,145.962,4
418.558,550.129,2
335.408,44.0049,3
208.038,306.97,0
201.999,324.591,0
226.89,328.427,0
431.139,469.258,1
420.353,506.203,2
364.754,509.775,2
545.309,450.44,1
419.729,161.073,4
356.316,96.9155,3
343.361,506.892,2
457.15,167.053,4
244.247,278.766,0
411.658,169.345,4
209.493,304.788,0
177.906,278.945,0
392.411,501.625,2
360.574,468.12,2
426.234,501.9,2
174.438,387.764,0
395.431,488.019,2
431.872,148.393,4
454.005,549.076,2
460.308,455.093,1
302.001,98.435,3
227.77,288.017,0
516.168,439.939,1
420.391,140.152,4
311.803,106.968,3
363.52,425.426,2
187.782,315.015,0
414.914,172.741,4
464.082,519.866,1
182.008,284.272,0
297.743,37.4037,3
442.265,582.867,2
463.744,567.301,1
486.158,483.489,1
383.449,512.556,2
234.364,353.75,0
398.462,160.343,4
471.758,50.3981,4
503.546,403.122,1
262.939,74.0765,3
226.905,332.39,0
334.059,154.399,3
356.085,133.255,3
461.424,475.925,1
225.69,224.299,0
373.94,469.677,2
345.956,84.8011,3
371.719,539.973,2
440.535,499.189,1
258.538,328.176,0
421.711,119.437,4
385.262,122.243,3
409.837,55.3839,3
503.293,499.473,1
438.587,141.953,4
399.915,89.9544,3
296.206,323.761,0
350.124,55.918,3
204.211,340.301,0
494.23,381.209,1
407.637,60.8366,3
379.257,498.669,2
480.931,93.4053,4
477.646,75.3415,4
409.813,490.903,2
408.959,182.001,4
309.297,123.556,3
436.885,127.066,4
437.141,116.177,4
182.667,376.342,0
214.209,298.856,0
395.99,449.689,2
210.468,251.62,0
468.385,496.467,1
362.29,180.282,3
353.24,102.512,3
398.179,491.847,2
206.292,206.326,0
310.446,181.609,3
312.242,79.4722,3
407.87,176.088,4
137.132,264.698,0
355.648,101.516,3
362.805,90.6379,3
447.986,566.983,2
355.507,186.27,3
285.137,73.138,3
457.298,198.715,4
319.277,120.178,3
506.431,106.446,4
366.862,458.96,2
227.224,281.489,0
193.094,302.861,0
212.938,299.936,0
442.879,162.536,4
199.228,242.685,0
435.899,507.251,1
391.393,509.335,2
432.562,153.111,4
149.207,296.311,0
112.63,325.649,0
299.003,172.179,3
428.309,454.583,1
190.847,287.794,0
453.717,426.23,1
335.496,74.398,3
490.953,111.364,4
291.129,112.651,3
431.843,573.886,2
384.175,489.56,2
206.278,278.645,0
357.902,87.7324,3
276.395,287.932,0
229.284,298.649,0
471.673,481.607,1
292.146,72.8989,3
366.661,67.7964,3
450.995,470.4,1
547.559,470.634,1
284.592,342.745,0
420.679,91.3959,4
286.463,278.744,0
364.002,123.212,3
340.589,152.757,3
420.588,449.969,1
373.081,487.608,2
126.72,336.89,0
388.884,471.565,2
405.873,157.913,4
442.792,559.608,2
387.497,484.659,2
154.313,311.565,0
152.695,224.097,0
323.68,557.858,2
412.179,436.534,1
374.478,501.205,2
179.833,291.706,0
209.781,303.733,0
472.804,512.129,1
250.794,287.014,0
172.322,249.614,0
440.524,135.533,4
207.67,374.797,0
346.819,125.82,3
437.02,455.378,1
427.244,566.101,2
437.235,407.745,1
369.504,519.634,2
213.485,278.029,0
427.505,79.7562,4
487.952,445.258,1
528.999,444.73,1
453.467,154.184,4
417.527,465.869,1
197.875,331.91,0
227.415,330.201,0
353.602,100.59,3
336.38,52.4922,3
447.65,119.139,4
474.933,493.719,1
423.528,500.829,2
464.45,189.212,4
149.4,362.384,0
528.799,410.507,1
384.731,498.755,2
466.978,96.2015,4
210.329,308.726,0
254.192,303.233,0
370.971,412.535,2
393.331,489.454,2
534.368,149.318,4
218.786,231.928,0
390.282,157.744,4
300.572,279.048,0
441.675,167.561,4
474.72,107.042,4
316.207,62.2538,3
369.701,75.3166,3
391.351,481.054,2
395.936,497.534,2
494.798,145.618,4
432.962,423.573,1
419.24,139.993,4
205.539,296.229,0
506.127,72.604,4
392.123,149.449,4
380.209,146.292,3
357.092,108.363,3
127.108,256.38,0
360.486,119.904,3
357.943,43.4371,3
400.003,67.8133,3
448.318,461.289,1
459.467,482.028,1
356.955,579.697,2
443.283,137.546,4
232.363,308.551,0
458.76,219.042,4
348.208,65.7479,3
422.035,127.255,4
346.959,104.822,3
384.167,125.863,3
466.123,527.336,1
315.879,191.088,3
191.373,352.648,0
450.657,508.434,1
357.613,538.331,2
219.737,308.686,0
392.357,489.913,2
469.11,475.803,1
192.311,300.979,0
452.62,473.198,1
508.501,150.552,4
235.018,315.547,0
364.023,491.547,2
439.639,500.474,1
448.488,505.733,1
436.264,143.614,4
118.047,269.826,0
427.555,135.928,4
184.707,317.26,0
512.371,410.431,1
438.194,127.121,4
392.212,104.601,3
286.203,272.149,0
511.386,176.156,4
361.731,18.8086,3
385.239,89.1494,3
449.353,486.954,1
246.853,376.993,0
200.716,298.876,0
429.876,540.544,2
380.539,114.5,3
457.027,434.955,1
354.259,194.774,3
356.528,81.5702,3
412.368,568.73,2
149.896,324.097,0
489.049,454.529,1
432.84,143.719,4
248.826,334.149,0
373.755,97.3254,3
497.794,437.292,1
436.116,485.867,1
439.442,524.82,2
226.965,256.146,0
405.3,170.837,4
239.25,291.639,0
